,,Cu,S,Na,Mg,Si,Al,P,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Zn,Ga,Ge,As,Se,Br,Kr,Xe,Rn,At,I,Te,Po,Bi,Sb,Sn,Pb,Tl,In,Cs,Ba,Rb,Sr,Y,Zr,Hf,Ta,Nb,Mo,W,Re,Tc,Ru,Os,Rh,Ir,Pt,Pd,Cd,Au,Hg,Ag,Fr,Ra,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ac,Th,Pa,U
,,ppm,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,ppm,mass%,ppm,ppm,mass%,mass%,mass%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
102-103,12/03/2024 15:25,43.2,0.16,1.2,1.1,8.19,2.78,0.0076,0.408,ND,1.1,28.1,ND,0.336,40.9,47.9,0.087,2.11,0.0127,43.8,52,17.6,ND,9.94,ND,59.2,22,ND,ND,ND,19.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,420,43.9,1040,21.2,ND,ND,ND,9.68,ND,ND,ND,ND,ND,16.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,19.3,ND
109-110,12/03/2024 15:52,28,0.167,2.88,0.748,8.31,2.78,0.0179,1.53,ND,0.93,26.9,ND,0.267,ND,29.5,0.064,1.93,ND,37.1,41.9,5.76,ND,24.1,ND,60.2,27.1,ND,ND,ND,18.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,469,46.4,1030,18.6,ND,ND,ND,ND,ND,ND,16.4,ND,ND,10.6,ND,17.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,135,ND,ND,37.1,ND,ND,ND,ND,ND,ND
111-112,12/03/2024 16:04,47.2,0.191,1.29,0.86,9.54,3.15,0.0221,0.617,ND,0.972,27.1,ND,0.315,42,41.8,0.0748,2.06,0.0116,22.4,45.7,9.37,ND,18.6,ND,54.8,95,ND,ND,ND,ND,9.17,ND,ND,ND,ND,38.3,ND,ND,ND,473,42.4,1010,22.6,ND,ND,ND,15.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,289,ND,ND,ND,ND,ND,ND,36,ND,ND,ND,12.5,ND
117-118,12/03/2024 16:16,32.2,0.19,4.06,0.984,11.6,3.84,0.0275,1.85,ND,1.18,21.7,ND,0.407,76.9,56.7,0.0978,2.6,0.0149,28.5,57.5,10.9,ND,14.5,ND,70.7,28.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,430,53.3,843,22.5,ND,ND,ND,21.5,ND,ND,ND,ND,ND,11.8,ND,10.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,401,ND,ND,ND,ND,ND,ND,ND,12.3,18.3,ND
123-124,12/03/2024 16:29,46.7,0.191,6.23,0.916,11.9,4.2,0.0652,2.94,ND,1.44,18,ND,0.5,75.1,40.5,0.109,2.8,0.009,29.3,72.8,13.4,ND,ND,ND,73.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,19,ND,ND,ND,397,51.7,870,27.9,ND,ND,ND,78.2,ND,ND,17.5,ND,ND,ND,ND,ND,ND,ND,ND,8.97,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,33,ND,ND,ND,15.5,ND
133-134,12/03/2024 16:41,20.8,0.0916,5.13,0.761,19.7,6.33,0.0551,0.326,ND,2.8,7.68,ND,0.685,106,33.2,0.128,3.12,0.007,ND,100,20.8,ND,17.8,ND,43.5,43.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,400,95,507,13.3,ND,ND,ND,170,ND,ND,14.7,ND,ND,ND,ND,13.9,9.86,ND,ND,5.69,ND,ND,ND,ND,ND,95.8,ND,ND,ND,ND,467,ND,ND,ND,ND,ND,34.4,17.9,ND,ND,18.9,12.7,ND
137-138,12/03/2024 16:53,20,0.0988,5.44,0.903,15.1,4.9,0.0627,0.959,ND,2.04,9.2,ND,0.962,94.4,69.5,0.13,4.52,0.0133,23.8,105,20.6,ND,ND,ND,40.5,ND,ND,ND,ND,ND,6.2,ND,ND,ND,ND,31.3,6.81,ND,ND,521,65.8,621,35.9,ND,18.2,ND,139,ND,ND,15.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,67.8,88,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,26,ND,ND,17,14.3,ND
150-151,12/03/2024 17:05,38.3,0.115,5.72,0.708,11.8,3.86,0.0476,1.37,ND,1.66,14.2,ND,0.738,83.5,53.9,0.132,3.41,0.0126,8.38,91.4,14.6,ND,ND,ND,45.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,14.5,ND,ND,ND,388,66.4,617,21.5,ND,ND,36.4,112,ND,ND,13.6,ND,ND,ND,ND,ND,ND,ND,ND,8.91,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,61.6,ND,ND,17.3,ND,ND
151-152,12/03/2024 17:18,ND,0.127,3.59,0.672,12.4,4.04,0.0276,0.298,ND,1.98,14.9,ND,0.572,65.9,34.3,0.0218,2.53,ND,ND,86.6,22.2,ND,9.2,ND,50.9,20.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,337,71.6,571,28.7,ND,ND,ND,128,ND,ND,18.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,8.4,ND,ND,ND,ND,ND,ND,ND,1720,ND,ND,ND,ND,ND,62.1,ND,ND,ND,15.3,ND,ND
157-158,12/05/2024 09:46,29.5,0.114,3.99,0.912,12.8,4.2,0.0617,0.62,ND,1.64,12.9,ND,0.945,135,79.8,0.138,4.6,0.0173,22,98.6,14.4,ND,3.12,ND,36.8,ND,ND,ND,ND,ND,7.86,ND,ND,ND,ND,10.9,ND,ND,ND,468,61.9,696,31.1,ND,ND,24.7,121,ND,ND,13.7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,59.9,ND,ND,ND,ND,345,ND,ND,ND,ND,ND,ND,44.4,ND,ND,ND,15,ND
