,,Cu,S,Na,Mg,Si,Al,P,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Zn,Ga,Ge,As,Se,Br,Kr,Xe,Rn,At,I,Te,Po,Bi,Sb,Sn,Pb,Tl,In,Cs,Ba,Rb,Sr,Y,Zr,Hf,Ta,Nb,Mo,W,Re,Tc,Ru,Os,Rh,Ir,Pt,Pd,Cd,Au,Hg,Ag,Fr,Ra,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ac,Th,Pa,U
,,ppm,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,ppm,mass%,ppm,ppm,mass%,mass%,mass%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
302-303,1/24/2025 11:02 AM,17.4,0.0903,ND,0.266,2.54,0.826,0.0039,0.355,ND,0.289,41.6,ND,0.142,ND,ND,0.023,0.751,ND,ND,8.31,ND,ND,ND,ND,52.7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,156,14.4,1490,11.9,ND,ND,ND,ND,ND,ND,28.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,139,ND,61.2,ND,ND,ND,ND,ND,ND,ND
303-304,1/24/2025 11:15 AM,22,0.134,0.626,0.287,2.38,0.762,ND,0.257,ND,0.276,42.1,ND,0.136,ND,12.1,0.0216,0.691,ND,18,13.3,ND,ND,ND,ND,47.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15.4,ND,ND,ND,115,14.2,1470,15.7,ND,ND,22.2,ND,ND,ND,23.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,156,ND,ND,ND,ND,43.9,ND,ND,ND,ND,ND,ND,ND
305-306,1/24/2025 11:27 AM,ND,0.109,1.14,0.228,1.83,0.576,ND,0.347,ND,0.219,40.2,ND,0.115,ND,ND,0.0167,0.525,ND,ND,11.4,ND,ND,ND,ND,37.6,ND,ND,ND,ND,ND,12.5,ND,ND,ND,ND,18.3,ND,ND,ND,120,11.4,1430,ND,ND,ND,29,ND,ND,ND,22,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,159,ND,ND,ND,ND,68.2,ND,ND,ND,ND,ND,ND,ND
306-307,1/24/2025 11:39 AM,ND,0.152,29.3,0.283,1.55,0.544,0.0181,10.9,ND,0.331,56,ND,0.14,ND,ND,0.0149,0.491,ND,23,9.5,ND,ND,ND,ND,47.4,ND,ND,ND,12.3,ND,ND,ND,ND,ND,ND,14.5,ND,ND,ND,103,10.5,1460,ND,ND,ND,ND,ND,ND,ND,22.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,187,ND,ND,ND,ND,52.5,ND,ND,ND,ND,ND,ND,ND
308-309,1/24/2025 11:51 AM,12.2,0.109,5.96,0.294,2.11,0.675,0.0137,1.77,ND,0.253,40.6,ND,0.124,ND,ND,0.026,0.647,ND,ND,16.9,ND,ND,ND,ND,45.8,ND,ND,ND,ND,ND,11.9,ND,ND,ND,ND,17.5,ND,ND,ND,113,12.3,1450,11.3,ND,ND,28.3,8.79,ND,ND,16.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,145,ND,71.6,ND,ND,ND,ND,ND,9.4,ND
311-312,1/24/2025 1:37 PM,16.2,0.148,1.01,0.276,2.79,0.909,ND,0.298,ND,0.305,39.5,ND,0.15,ND,10.1,0.021,0.786,ND,ND,11.8,4.86,ND,ND,ND,42.3,ND,ND,ND,ND,ND,12.3,ND,ND,ND,ND,ND,ND,ND,ND,127,15.9,1420,13.4,ND,ND,ND,ND,ND,ND,29.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,168,ND,ND,ND,ND,66.1,ND,ND,ND,ND,ND,ND,ND
317-318,1/24/2025 1:49 PM,14.9,0.154,9.58,0.466,4.43,1.53,0.0246,3.47,ND,0.567,39.5,ND,0.225,ND,21.4,0.0441,1.34,0.0086,30.2,23.3,11.5,ND,ND,ND,52.7,ND,ND,ND,ND,ND,14,ND,ND,ND,ND,20.7,ND,ND,ND,213,23.5,1390,19.9,ND,ND,ND,ND,ND,ND,29.8,ND,ND,19.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,35.9,90,ND,ND,ND,ND,16.9,ND
326-327,1/24/2025 2:01 PM,42.5,0.166,14.2,0.674,8.45,2.67,0.0375,6.58,ND,1.06,28.1,ND,0.286,51.6,30.2,0.051,2.3,0.011,36.2,51.9,14.4,ND,ND,ND,52.7,ND,ND,ND,ND,ND,12.9,ND,ND,ND,ND,22.9,ND,ND,ND,340,48.6,1160,29.4,ND,ND,ND,12.3,ND,ND,21.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,42.5,26.3,ND,ND,ND,23.9,ND
327-328,1/24/2025 2:14 PM,<0.0001,0.135,14.9,0.314,4.1,1.25,0.0092,8.89,ND,0.617,21.4,<0.0001,0.204,<0.0001,<0.0001,0.0358,1.62,<0.0001,<0.0001,<0.0001,<0.0001,ND,<0.0001,ND,<0.0001,ND,ND,ND,ND,<0.0001,<0.0001,ND,ND,ND,<0.0001,<0.0001,ND,ND,ND,0.0001,<0.0001,0.0005,<0.0001,<0.0001,ND,<0.0001,<0.0001,ND,ND,<0.0001,ND,ND,<0.0001,ND,<0.0001,ND,ND,ND,ND,ND,ND,<0.0001,ND,ND,ND,ND,ND,ND,ND,<0.0001,ND,<0.0001,0.0001,ND,<0.0001,<0.0001,<0.0001,ND,ND,ND,<0.0001,ND
328-329,1/24/2025 2:26 PM,40.1,0.149,12.4,0.337,4.46,1.49,0.0148,6.29,ND,0.628,32.6,ND,0.197,ND,18.6,0.0255,1.5,0.0073,ND,37.5,6.35,ND,ND,ND,46.8,ND,ND,ND,ND,ND,14.9,ND,ND,ND,ND,21.9,ND,ND,ND,234,44.3,1290,ND,ND,ND,24,13.8,ND,ND,13,ND,ND,ND,ND,ND,ND,ND,ND,15.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,154,ND,ND,185,ND,50.5,ND,ND,ND,ND,ND,ND,ND
331-332,1/24/2025 2:38 PM,ND,0.125,36.2,0.32,2.46,0.885,0.0194,11.3,ND,0.551,47.3,ND,0.179,ND,18.6,0.0121,0.527,ND,ND,11.8,ND,ND,ND,ND,26.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12.9,ND,ND,ND,78.5,14.6,850,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
343-344,1/24/2025 2:51 PM,19.7,0.149,51,0.113,1.09,0.49,ND,23.6,ND,0.282,21.4,ND,0.0729,ND,ND,0.0278,0.858,0.0042,19.3,27.9,ND,ND,ND,ND,50.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,16.5,ND,ND,ND,168,26.2,1370,8.7,ND,ND,26,ND,ND,ND,14.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,107,ND,31.2,ND,ND,ND,ND,ND,ND,ND
352-353,1/24/2025 3:03 PM,33.9,0.149,7.84,0.486,5.08,1.85,ND,4.18,ND,0.607,32.3,ND,0.216,ND,16.4,0.0431,1.51,0.0101,18.2,32.4,6.18,ND,ND,ND,43.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,22.1,ND,ND,ND,188,32.7,1340,17.5,ND,ND,ND,9.76,ND,ND,13.7,ND,ND,ND,ND,13,ND,ND,ND,ND,ND,ND,10.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,28.4,63.5,26.3,ND,ND,ND,ND,ND
360-361,1/24/2025 3:15 PM,22,0.118,5.91,0.275,3.01,1.04,0.0114,2.3,ND,0.331,39.7,ND,0.168,ND,10.4,0.0403,0.946,0.0058,ND,20.1,ND,ND,ND,ND,45.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,14.5,ND,ND,ND,130,15.5,1550,ND,ND,ND,29.9,ND,ND,ND,13.9,ND,ND,ND,ND,ND,ND,ND,ND,16.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,175,ND,50.6,ND,ND,ND,ND,ND,10.6,ND
362-363,1/24/2025 3:28 PM,27,0.128,ND,0.405,4.01,1.37,ND,0.281,ND,0.415,39,ND,0.216,ND,18.2,0.0231,1.22,ND,ND,25.2,8.02,ND,ND,ND,49.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,19.1,12.6,ND,ND,135,24.2,1500,8.83,ND,ND,ND,ND,ND,ND,27.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,65.6,ND,ND,ND,ND,ND,ND,ND
401-402,1/24/2025 3:54 PM,55.8,0.211,20.3,0.669,9.62,3.4,0.027,10.7,ND,1.28,29.9,ND,0.375,74.6,52.7,0.0258,3.02,0.0092,24.6,69.5,16.9,ND,19.3,ND,72.8,45.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,786,71.3,1310,30.3,ND,ND,ND,20.5,ND,ND,36.3,ND,ND,15,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.56,ND,ND,ND,ND,ND,ND,1350,ND,ND,ND,ND,ND,90.9,ND,ND,ND,17.5,15.8,ND
406-407,1/24/2025 4:07 PM,34.4,0.179,15.6,0.456,5.98,2.08,0.0172,5.57,ND,0.784,41.5,ND,0.233,ND,27.9,0.0251,1.54,0.0087,ND,32.7,ND,ND,ND,ND,61.1,ND,ND,ND,ND,ND,14.6,ND,ND,ND,ND,24.7,ND,ND,ND,480,37.3,1490,16.9,ND,ND,40.3,ND,ND,ND,31.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,439,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,16.3,ND
413-414,1/24/2025 4:19 PM,ND,0.111,54.5,0.184,1.6,0.589,ND,14,ND,0.583,28.2,ND,0.154,44.2,37.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,10.9,7.33,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,61.7,7.2,273,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
