x Distance [mm]	Height [cm]
 215.780 	 6.377 
 215.970 	 6.372 
 216.160 	 6.372 
 216.345 	 6.372 
 216.535 	 6.368 
 216.720 	 6.372 
 216.910 	 6.368 
 217.100 	 6.367 
 217.285 	 6.369 
 217.475 	 6.377 
 217.660 	 6.373 
 217.850 	 6.372 
 218.040 	 6.372 
 218.225 	 6.377 
 218.415 	 6.373 
 218.600 	 6.372 
 218.790 	 6.377 
 218.980 	 6.372 
 219.165 	 6.372 
 219.355 	 6.372 
 219.540 	 6.372 
 219.730 	 6.377 
 219.920 	 6.373 
 220.105 	 6.377 
 220.295 	 6.381 
 220.480 	 6.377 
 220.670 	 6.377 
 220.860 	 6.373 
 221.045 	 6.372 
 221.235 	 6.372 
 221.420 	 6.376 
 221.610 	 6.377 
 221.800 	 6.372 
 221.985 	 6.376 
 222.175 	 6.377 
 222.360 	 6.377 
 222.550 	 6.381 
 222.740 	 6.373 
 222.925 	 6.377 
 223.115 	 6.377 
 223.300 	 6.377 
 223.490 	 6.377 
 223.680 	 6.377 
 223.865 	 6.372 
 224.055 	 6.377 
 224.240 	 6.377 
 224.430 	 6.377 
 224.620 	 6.372 
 224.805 	 6.372 
 224.995 	 6.377 
 225.180 	 6.372 
 225.370 	 6.372 
 225.560 	 6.377 
 225.745 	 6.372 
 225.935 	 6.377 
 226.120 	 6.377 
 226.310 	 6.377 
 226.500 	 6.381 
 226.685 	 6.377 
 226.875 	 6.377 
 227.060 	 6.377 
 227.250 	 6.377 
 227.440 	 6.382 
 227.625 	 6.377 
 227.815 	 6.377 
 228.000 	 6.377 
 228.190 	 6.382 
 228.380 	 6.382 
 228.565 	 6.377 
 228.755 	 6.377 
 228.940 	 6.377 
 229.130 	 6.373 
 229.320 	 6.377 
 229.505 	 6.372 
 229.695 	 6.372 
 229.880 	 6.377 
 230.070 	 6.382 
 230.260 	 6.378 
 230.445 	 6.377 
 230.635 	 6.377 
 230.820 	 6.382 
 231.010 	 6.382 
 231.200 	 6.377 
 231.385 	 6.377 
 231.575 	 6.377 
 231.760 	 6.373 
 231.950 	 6.372 
 232.140 	 6.372 
 232.325 	 6.372 
 232.515 	 6.372 
 232.700 	 6.371 
 232.890 	 6.367 
 233.080 	 6.372 
 233.265 	 6.376 
 233.455 	 6.377 
 233.640 	 6.377 
 233.830 	 6.367 
 234.020 	 6.367 
 234.205 	 6.367 
 234.395 	 6.367 
 234.580 	 6.367 
 234.770 	 6.367 
 234.960 	 6.367 
 235.145 	 6.372 
 235.335 	 6.372 
 235.520 	 6.368 
 235.710 	 6.372 
 235.900 	 6.367 
 236.085 	 6.367 
 236.275 	 6.367 
 236.460 	 6.372 
 236.650 	 6.368 
 236.840 	 6.372 
 237.025 	 6.372 
 237.215 	 6.372 
 237.400 	 6.372 
 237.590 	 6.372 
 237.780 	 6.372 
 237.965 	 6.372 
 238.155 	 6.372 
 238.340 	 6.372 
 238.530 	 6.372 
 238.720 	 6.372 
 238.905 	 6.372 
 239.095 	 6.367 
 239.280 	 6.372 
 239.470 	 6.367 
 239.660 	 6.367 
 239.845 	 6.367 
 240.035 	 6.367 
 240.220 	 6.362 
 240.410 	 6.368 
 240.600 	 6.372 
 240.785 	 6.372 
 240.975 	 6.372 
 241.160 	 6.372 
 241.350 	 6.372 
 241.540 	 6.372 
 241.725 	 6.372 
 241.915 	 6.372 
 242.100 	 6.377 
 242.290 	 6.372 
 242.480 	 6.372 
 242.665 	 6.373 
 242.855 	 6.376 
 243.040 	 6.372 
 243.230 	 6.372 
 243.420 	 6.372 
 243.605 	 6.372 
 243.795 	 6.372 
 243.980 	 6.372 
 244.170 	 6.377 
 244.360 	 6.376 
 244.545 	 6.372 
 244.735 	 6.372 
 244.920 	 6.372 
 245.110 	 6.372 
 245.300 	 6.377 
 245.485 	 6.372 
 245.675 	 6.376 
 245.860 	 6.372 
 246.050 	 6.372 
 246.240 	 6.372 
 246.425 	 6.373 
 246.615 	 6.377 
 246.800 	 6.377 
 246.990 	 6.377 
 247.180 	 6.377 
 247.365 	 6.372 
 247.555 	 6.376 
 247.740 	 6.372 
 247.930 	 6.373 
 248.120 	 6.376 
 248.305 	 6.372 
 248.495 	 6.377 
 248.680 	 6.377 
 248.870 	 6.377 
 249.060 	 6.382 
 249.245 	 6.387 
 249.435 	 6.388 
 249.620 	 6.392 
 249.810 	 6.392 
 250.000 	 6.397 
 250.185 	 6.402 
 250.375 	 6.406 
 250.560 	 6.411 
 250.750 	 6.408 
 250.940 	 6.401 
 251.125 	 6.397 
 251.315 	 6.392 
 251.500 	 6.393 
 251.690 	 6.401 
 251.880 	 6.401 
 252.065 	 6.401 
 252.255 	 6.397 
 252.440 	 6.399 
 252.630 	 6.396 
 252.820 	 6.396 
 253.005 	 6.398 
 253.195 	 6.401 
 253.380 	 6.401 
 253.570 	 6.405 
 253.760 	 6.397 
 253.945 	 6.401 
 254.135 	 6.397 
 254.320 	 6.392 
 254.510 	 6.401 
 254.700 	 6.401 
 254.885 	 6.401 
 255.075 	 6.401 
 255.260 	 6.401 
 255.450 	 6.401 
 255.640 	 6.401 
 255.825 	 6.401 
 256.015 	 6.401 
 256.200 	 6.401 
 256.390 	 6.402 
 256.580 	 6.406 
 256.765 	 6.406 
 256.955 	 6.406 
 257.140 	 6.406 
 257.330 	 6.406 
 257.520 	 6.407 
 257.705 	 6.411 
 257.895 	 6.412 
 258.080 	 6.416 
 258.270 	 6.411 
 258.460 	 6.411 
 258.645 	 6.411 
 258.835 	 6.411 
 259.020 	 6.407 
 259.210 	 6.412 
 259.400 	 6.416 
 259.585 	 6.416 
 259.775 	 6.416 
 259.960 	 6.411 
 260.150 	 6.411 
 260.340 	 6.411 
 260.525 	 6.411 
 260.715 	 6.411 
 260.900 	 6.412 
 261.090 	 6.416 
 261.280 	 6.412 
 261.465 	 6.416 
 261.655 	 6.421 
 261.840 	 6.411 
 262.030 	 6.416 
 262.220 	 6.416 
 262.405 	 6.412 
 262.595 	 6.416 
 262.780 	 6.421 
 262.970 	 6.422 
 263.160 	 6.431 
 263.345 	 6.421 
 263.535 	 6.416 
 263.720 	 6.421 
 263.910 	 6.421 
 264.100 	 6.421 
 264.285 	 6.420 
 264.475 	 6.416 
 264.660 	 6.421 
 264.850 	 6.421 
 265.040 	 6.416 
 265.225 	 6.416 
 265.415 	 6.421 
 265.600 	 6.421 
 265.790 	 6.421 
 265.980 	 6.421 
 266.165 	 6.421 
 266.355 	 6.416 
 266.540 	 6.421 
 266.730 	 6.421 
 266.920 	 6.426 
 267.105 	 6.426 
 267.295 	 6.425 
 267.480 	 6.421 
 267.670 	 6.429 
 267.860 	 6.435 
 268.045 	 6.426 
 268.235 	 6.431 
 268.420 	 6.431 
 268.610 	 6.430 
 268.800 	 6.426 
 268.985 	 6.426 
 269.175 	 6.426 
 269.360 	 6.422 
 269.550 	 6.425 
 269.740 	 6.422 
 269.925 	 6.426 
 270.115 	 6.430 
 270.300 	 6.426 
 270.490 	 6.430 
 270.680 	 6.426 
 270.865 	 6.426 
 271.055 	 6.426 
 271.240 	 6.431 
 271.430 	 6.431 
 271.620 	 6.431 
 271.805 	 6.431 
 271.995 	 6.436 
 272.180 	 6.435 
 272.370 	 6.431 
 272.560 	 6.431 
 272.745 	 6.435 
 272.935 	 6.431 
 273.120 	 6.431 
 273.310 	 6.431 
 273.500 	 6.430 
 273.685 	 6.426 
 273.875 	 6.431 
 274.060 	 6.431 
 274.250 	 6.431 
 274.440 	 6.431 
 274.625 	 6.436 
 274.815 	 6.435 
 275.000 	 6.431 
 275.190 	 6.436 
 275.380 	 6.436 
 275.565 	 6.436 
 275.755 	 6.436 
 275.940 	 6.436 
 276.130 	 6.435 
 276.320 	 6.432 
 276.505 	 6.440 
 276.695 	 6.435 
 276.880 	 6.431 
 277.070 	 6.431 
 277.260 	 6.436 
 277.445 	 6.434 
 277.635 	 6.427 
 277.820 	 6.431 
 278.010 	 6.431 
 278.200 	 6.431 
 278.385 	 6.431 
 278.575 	 6.431 
 278.760 	 6.436 
 278.950 	 6.435 
 279.140 	 6.431 
 279.325 	 6.431 
 279.515 	 6.436 
 279.700 	 6.436 
 279.890 	 6.439 
 280.080 	 6.437 
 280.265 	 6.440 
 280.455 	 6.436 
 280.640 	 6.436 
 280.830 	 6.436 
 281.020 	 6.436 
 281.205 	 6.440 
 281.395 	 6.439 
 281.580 	 6.437 
 281.770 	 6.440 
 281.960 	 6.440 
 282.145 	 6.440 
 282.335 	 6.440 
 282.520 	 6.440 
 282.710 	 6.441 
 282.900 	 6.445 
 283.085 	 6.445 
 283.275 	 6.444 
 283.460 	 6.440 
 283.650 	 6.440 
 283.840 	 6.442 
 284.025 	 6.447 
 284.215 	 6.451 
 284.400 	 6.454 
 284.590 	 6.448 
 284.780 	 6.448 
 284.965 	 6.455 
 285.155 	 6.455 
 285.340 	 6.454 
 285.530 	 6.450 
 285.720 	 6.451 
 285.905 	 6.454 
 286.095 	 6.450 
 286.280 	 6.450 
 286.470 	 6.452 
 286.660 	 6.454 
 286.845 	 6.451 
 287.035 	 6.455 
 287.220 	 6.454 
 287.410 	 6.451 
 287.600 	 6.454 
 287.785 	 6.450 
 287.975 	 6.449 
 288.160 	 6.445 
 288.350 	 6.447 
 288.540 	 6.455 
 288.725 	 6.455 
 288.915 	 6.455 
 289.100 	 6.455 
 289.290 	 6.455 
 289.480 	 6.454 
 289.665 	 6.450 
 289.855 	 6.450 
 290.040 	 6.450 
 290.230 	 6.450 
 290.420 	 6.450 
 290.605 	 6.451 
 290.795 	 6.455 
 290.980 	 6.455 
 291.170 	 6.456 
 291.360 	 6.460 
 291.545 	 6.460 
 291.735 	 6.460 
 291.920 	 6.460 
 292.110 	 6.459 
 292.300 	 6.455 
 292.485 	 6.455 
 292.675 	 6.452 
 292.860 	 6.459 
 293.050 	 6.455 
 293.240 	 6.456 
 293.425 	 6.460 
 293.615 	 6.459 
 293.800 	 6.456 
 293.990 	 6.459 
 294.180 	 6.455 
 294.365 	 6.455 
 294.555 	 6.455 
 294.740 	 6.456 
 294.930 	 6.460 
 295.120 	 6.460 
 295.305 	 6.460 
 295.495 	 6.461 
 295.680 	 6.464 
 295.870 	 6.460 
 296.060 	 6.460 
 296.245 	 6.460 
 296.435 	 6.460 
 296.620 	 6.460 
 296.810 	 6.460 
 297.000 	 6.459 
 297.185 	 6.455 
 297.375 	 6.455 
 297.560 	 6.454 
 297.750 	 6.451 
 297.940 	 6.455 
 298.125 	 6.456 
 298.315 	 6.460 
 298.500 	 6.460 
 298.690 	 6.464 
 298.880 	 6.459 
 299.065 	 6.455 
 299.255 	 6.455 
 299.440 	 6.456 
 299.630 	 6.460 
 299.820 	 6.460 
 300.005 	 6.460 
 300.195 	 6.460 
 300.380 	 6.459 
 300.570 	 6.455 
 300.760 	 6.456 
 300.945 	 6.459 
 301.135 	 6.455 
 301.320 	 6.456 
 301.510 	 6.460 
 301.700 	 6.460 
 301.885 	 6.459 
 302.075 	 6.456 
 302.260 	 6.461 
 302.450 	 6.464 
 302.640 	 6.460 
 302.825 	 6.460 
 303.015 	 6.460 
 303.200 	 6.461 
 303.390 	 6.463 
 303.580 	 6.461 
 303.765 	 6.463 
 303.955 	 6.460 
 304.140 	 6.460 
 304.330 	 6.460 
 304.520 	 6.461 
 304.705 	 6.466 
 304.895 	 6.470 
 305.080 	 6.468 
 305.270 	 6.464 
 305.460 	 6.460 
 305.645 	 6.462 
 305.835 	 6.465 
 306.020 	 6.465 
 306.210 	 6.465 
 306.400 	 6.465 
 306.585 	 6.465 
 306.775 	 6.465 
 306.960 	 6.465 
 307.150 	 6.465 
 307.340 	 6.463 
 307.525 	 6.460 
 307.715 	 6.460 
 307.900 	 6.463 
 308.090 	 6.469 
 308.280 	 6.463 
 308.465 	 6.460 
 308.655 	 6.462 
 308.840 	 6.468 
 309.030 	 6.465 
 309.220 	 6.465 
 309.405 	 6.467 
 309.595 	 6.468 
 309.780 	 6.467 
 309.970 	 6.470 
 310.160 	 6.468 
 310.345 	 6.465 
 310.535 	 6.465 
 310.720 	 6.465 
 310.910 	 6.463 
 311.100 	 6.462 
 311.285 	 6.465 
 311.475 	 6.465 
 311.660 	 6.465 
 311.850 	 6.467 
 312.040 	 6.468 
 312.225 	 6.465 
 312.415 	 6.465 
 312.600 	 6.465 
 312.790 	 6.465 
 312.980 	 6.465 
 313.165 	 6.462 
 313.355 	 6.462 
 313.540 	 6.465 
 313.730 	 6.465 
 313.920 	 6.465 
 314.105 	 6.465 
 314.295 	 6.465 
 314.480 	 6.467 
 314.670 	 6.473 
 314.860 	 6.472 
 315.045 	 6.470 
 315.235 	 6.470 
 315.420 	 6.470 
 315.610 	 6.470 
 315.800 	 6.467 
 315.985 	 6.467 
 316.175 	 6.465 
 316.360 	 6.465 
 316.550 	 6.470 
 316.740 	 6.470 
 316.925 	 6.472 
 317.115 	 6.475 
 317.300 	 6.475 
 317.490 	 6.472 
 317.680 	 6.473 
 317.865 	 6.475 
 318.055 	 6.470 
 318.240 	 6.467 
 318.430 	 6.472 
 318.620 	 6.475 
 318.805 	 6.472 
 318.995 	 6.467 
 319.180 	 6.467 
 319.370 	 6.470 
 319.560 	 6.470 
 319.745 	 6.470 
 319.935 	 6.470 
 320.120 	 6.472 
 320.310 	 6.475 
 320.500 	 6.475 
 320.685 	 6.477 
 320.875 	 6.477 
 321.060 	 6.475 
 321.250 	 6.475 
 321.440 	 6.475 
 321.625 	 6.475 
 321.815 	 6.477 
 322.000 	 6.477 
 322.190 	 6.477 
 322.380 	 6.479 
 322.565 	 6.479 
 322.755 	 6.478 
 322.940 	 6.471 
 323.130 	 6.475 
 323.320 	 6.477 
 323.505 	 6.473 
 323.695 	 6.472 
 323.880 	 6.475 
 324.070 	 6.475 
 324.260 	 6.475 
 324.445 	 6.477 
 324.635 	 6.477 
 324.820 	 6.475 
 325.010 	 6.475 
 325.200 	 6.475 
 325.385 	 6.472 
 325.575 	 6.472 
 325.760 	 6.475 
 325.950 	 6.475 
 326.140 	 6.477 
 326.325 	 6.477 
 326.515 	 6.475 
 326.700 	 6.475 
 326.890 	 6.475 
 327.080 	 6.475 
 327.265 	 6.477 
 327.455 	 6.477 
 327.640 	 6.477 
 327.830 	 6.479 
 328.020 	 6.479 
 328.205 	 6.482 
 328.395 	 6.480 
 328.580 	 6.475 
 328.770 	 6.475 
 328.960 	 6.475 
 329.145 	 6.475 
 329.335 	 6.477 
 329.520 	 6.479 
 329.710 	 6.476 
 329.900 	 6.475 
 330.085 	 6.475 
 330.275 	 6.475 
 330.460 	 6.472 
 330.650 	 6.474 
 330.840 	 6.479 
 331.025 	 6.479 
 331.215 	 6.482 
 331.400 	 6.484 
 331.590 	 6.484 
 331.780 	 6.484 
 331.965 	 6.484 
 332.155 	 6.487 
 332.340 	 6.487 
 332.530 	 6.484 
 332.720 	 6.487 
 332.905 	 6.487 
 333.095 	 6.484 
 333.280 	 6.484 
 333.470 	 6.484 
 333.660 	 6.484 
 333.845 	 6.484 
 334.035 	 6.484 
 334.220 	 6.484 
 334.410 	 6.484 
 334.600 	 6.484 
 334.785 	 6.487 
 334.975 	 6.487 
 335.160 	 6.487 
 335.350 	 6.489 
 335.540 	 6.489 
 335.725 	 6.487 
 335.915 	 6.489 
 336.100 	 6.492 
 336.290 	 6.489 
 336.480 	 6.489 
 336.665 	 6.489 
 336.855 	 6.487 
 337.040 	 6.487 
 337.230 	 6.489 
 337.420 	 6.489 
 337.605 	 6.489 
 337.795 	 6.489 
 337.980 	 6.489 
 338.170 	 6.489 
 338.360 	 6.489 
 338.545 	 6.489 
 338.735 	 6.489 
 338.920 	 6.492 
 339.110 	 6.492 
 339.300 	 6.487 
 339.485 	 6.487 
 339.675 	 6.489 
 339.860 	 6.489 
 340.050 	 6.489 
 340.240 	 6.489 
 340.425 	 6.489 
 340.615 	 6.492 
 340.800 	 6.492 
 340.990 	 6.491 
 341.180 	 6.492 
 341.365 	 6.492 
 341.555 	 6.494 
 341.740 	 6.494 
 341.930 	 6.494 
 342.120 	 6.494 
 342.305 	 6.492 
 342.495 	 6.489 
 342.680 	 6.489 
 342.870 	 6.489 
 343.060 	 6.489 
 343.245 	 6.492 
 343.435 	 6.494 
 343.620 	 6.492 
 343.810 	 6.489 
 344.000 	 6.489 
 344.185 	 6.489 
 344.375 	 6.487 
 344.560 	 6.489 
 344.750 	 6.494 
 344.940 	 6.494 
 345.125 	 6.494 
 345.315 	 6.497 
 345.500 	 6.496 
 345.690 	 6.491 
 345.880 	 6.492 
 346.065 	 6.497 
 346.255 	 6.496 
 346.440 	 6.497 
 346.630 	 6.499 
 346.820 	 6.499 
 347.005 	 6.499 
 347.195 	 6.499 
 347.380 	 6.499 
 347.570 	 6.499 
 347.760 	 6.499 
 347.945 	 6.499 
 348.135 	 6.496 
 348.320 	 6.497 
 348.510 	 6.499 
 348.700 	 6.499 
 348.885 	 6.499 
 349.075 	 6.499 
 349.260 	 6.497 
 349.450 	 6.497 
 349.640 	 6.499 
 349.825 	 6.499 
 350.015 	 6.502 
 350.200 	 6.504 
 350.390 	 6.501 
 350.580 	 6.499 
 350.765 	 6.496 
 350.955 	 6.497 
 351.140 	 6.497 
 351.330 	 6.497 
 351.520 	 6.499 
 351.705 	 6.499 
 351.895 	 6.499 
 352.080 	 6.499 
 352.270 	 6.499 
 352.460 	 6.499 
 352.645 	 6.499 
 352.835 	 6.499 
 353.020 	 6.499 
 353.210 	 6.499 
 353.400 	 6.499 
 353.585 	 6.499 
 353.775 	 6.499 
 353.960 	 6.499 
 354.150 	 6.499 
 354.340 	 6.499 
 354.525 	 6.499 
 354.715 	 6.499 
 354.900 	 6.502 
 355.090 	 6.501 
 355.280 	 6.499 
 355.465 	 6.499 
 355.655 	 6.502 
 355.840 	 6.498 
 356.030 	 6.497 
 356.220 	 6.499 
 356.405 	 6.499 
 356.595 	 6.499 
 356.780 	 6.499 
 356.970 	 6.499 
 357.160 	 6.499 
 357.345 	 6.502 
 357.535 	 6.504 
 357.720 	 6.504 
 357.910 	 6.504 
 358.100 	 6.507 
 358.285 	 6.503 
 358.475 	 6.499 
 358.660 	 6.499 
 358.850 	 6.499 
 359.040 	 6.499 
 359.225 	 6.499 
 359.415 	 6.499 
 359.600 	 6.502 
 359.790 	 6.501 
 359.980 	 6.502 
 360.165 	 6.501 
 360.355 	 6.499 
 360.540 	 6.499 
 360.730 	 6.499 
 360.920 	 6.499 
 361.105 	 6.499 
 361.295 	 6.496 
 361.480 	 6.494 
 361.670 	 6.494 
 361.860 	 6.494 
 362.045 	 6.497 
 362.235 	 6.499 
 362.420 	 6.499 
 362.610 	 6.499 
 362.800 	 6.499 
 362.985 	 6.499 
 363.175 	 6.499 
 363.360 	 6.499 
 363.550 	 6.499 
 363.740 	 6.496 
 363.925 	 6.494 
 364.115 	 6.494 
 364.300 	 6.494 
 364.490 	 6.497 
 364.680 	 6.499 
 364.865 	 6.496 
 365.055 	 6.494 
 365.240 	 6.497 
 365.430 	 6.496 
 365.620 	 6.497 
 365.805 	 6.499 
 365.995 	 6.499 
 366.180 	 6.499 
 366.370 	 6.496 
 366.560 	 6.497 
 366.745 	 6.499 
 366.935 	 6.499 
 367.120 	 6.499 
 367.310 	 6.499 
 367.500 	 6.496 
 367.685 	 6.494 
 367.875 	 6.497 
 368.060 	 6.496 
 368.250 	 6.497 
 368.440 	 6.502 
 368.625 	 6.501 
 368.815 	 6.499 
 369.000 	 6.495 
 369.190 	 6.488 
 369.380 	 6.487 
 369.565 	 6.493 
 369.755 	 6.497 
 369.940 	 6.499 
 370.130 	 6.496 
 370.320 	 6.494 
 370.505 	 6.491 
 370.695 	 6.489 
 370.880 	 6.492 
 371.070 	 6.494 
 371.260 	 6.494 
 371.445 	 6.494 
 371.635 	 6.491 
 371.820 	 6.493 
 372.010 	 6.494 
 372.200 	 6.491 
 372.385 	 6.489 
 372.575 	 6.489 
 372.760 	 6.486 
 372.950 	 6.487 
 373.140 	 6.486 
 373.325 	 6.489 
 373.515 	 6.489 
 373.700 	 6.489 
 373.890 	 6.489 
 374.080 	 6.489 
 374.265 	 6.489 
 374.455 	 6.489 
 374.640 	 6.489 
 374.830 	 6.489 
 375.020 	 6.489 
 375.205 	 6.489 
 375.395 	 6.489 
 375.580 	 6.489 
 375.770 	 6.489 
 375.960 	 6.484 
 376.145 	 6.488 
 376.335 	 6.489 
 376.520 	 6.489 
 376.710 	 6.489 
 376.900 	 6.486 
 377.085 	 6.484 
 377.275 	 6.491 
 377.460 	 6.491 
 377.650 	 6.489 
 377.840 	 6.486 
 378.025 	 6.488 
 378.215 	 6.489 
 378.400 	 6.486 
 378.590 	 6.484 
 378.780 	 6.484 
 378.965 	 6.487 
 379.155 	 6.486 
 379.340 	 6.480 
 379.530 	 6.483 
 379.720 	 6.484 
 379.905 	 6.487 
 380.095 	 6.486 
 380.280 	 6.488 
 380.470 	 6.489 
 380.660 	 6.483 
 380.845 	 6.483 
 381.035 	 6.481 
 381.220 	 6.483 
 381.410 	 6.484 
 381.600 	 6.484 
 381.785 	 6.484 
 381.975 	 6.484 
 382.160 	 6.484 
 382.350 	 6.481 
 382.540 	 6.483 
 382.725 	 6.484 
 382.915 	 6.480 
 383.100 	 6.483 
 383.290 	 6.481 
 383.480 	 6.479 
 383.665 	 6.479 
 383.855 	 6.479 
 384.040 	 6.479 
 384.230 	 6.483 
 384.420 	 6.484 
 384.605 	 6.484 
 384.795 	 6.479 
 384.980 	 6.479 
 385.170 	 6.479 
 385.360 	 6.479 
 385.545 	 6.476 
 385.735 	 6.478 
 385.920 	 6.479 
 386.110 	 6.479 
 386.300 	 6.476 
 386.485 	 6.475 
 386.675 	 6.475 
 386.860 	 6.475 
 387.050 	 6.475 
 387.240 	 6.475 
 387.425 	 6.475 
 387.615 	 6.475 
 387.800 	 6.471 
 387.990 	 6.473 
 388.180 	 6.475 
 388.365 	 6.475 
 388.555 	 6.475 
 388.740 	 6.475 
 388.930 	 6.471 
 389.120 	 6.473 
 389.305 	 6.475 
 389.495 	 6.475 
 389.680 	 6.475 
 389.870 	 6.471 
 390.060 	 6.470 
 390.245 	 6.467 
 390.435 	 6.468 
 390.620 	 6.470 
 390.810 	 6.470 
 391.000 	 6.470 
 391.185 	 6.470 
 391.375 	 6.470 
 391.560 	 6.470 
 391.750 	 6.470 
 391.940 	 6.470 
 392.125 	 6.466 
 392.315 	 6.469 
 392.500 	 6.470 
 392.690 	 6.466 
 392.880 	 6.469 
 393.065 	 6.470 
 393.255 	 6.463 
 393.440 	 6.463 
 393.630 	 6.458 
 393.820 	 6.462 
 394.005 	 6.461 
 394.195 	 6.460 
 394.380 	 6.460 
 394.570 	 6.456 
 394.760 	 6.460 
 394.945 	 6.464 
 395.135 	 6.461 
 395.320 	 6.460 
 395.510 	 6.460 
 395.700 	 6.460 
 395.885 	 6.456 
 396.075 	 6.455 
 396.260 	 6.455 
 396.450 	 6.455 
 396.640 	 6.460 
 396.825 	 6.453 
 397.015 	 6.450 
 397.200 	 6.450 
 397.390 	 6.447 
 397.580 	 6.445 
 397.765 	 6.445 
 397.955 	 6.442 
 398.140 	 6.444 
 398.330 	 6.445 
 398.520 	 6.445 
 398.705 	 6.445 
 398.895 	 6.445 
 399.080 	 6.445 
 399.270 	 6.445 
 399.460 	 6.445 
 399.645 	 6.445 
 399.835 	 6.442 
 400.020 	 6.444 
 400.210 	 6.445 
 400.400 	 6.445 
 400.585 	 6.445 
 400.775 	 6.442 
 400.960 	 6.440 
 401.150 	 6.444 
 401.340 	 6.438 
 401.525 	 6.436 
 401.715 	 6.436 
 401.900 	 6.432 
 402.090 	 6.431 
 402.280 	 6.431 
 402.465 	 6.431 
 402.655 	 6.434 
 402.840 	 6.431 
 403.030 	 6.434 
 403.220 	 6.436 
 403.405 	 6.432 
 403.595 	 6.434 
 403.780 	 6.436 
 403.970 	 6.436 
 404.160 	 6.432 
 404.345 	 6.431 
 404.535 	 6.431 
 404.720 	 6.427 
 404.910 	 6.426 
 405.100 	 6.426 
 405.285 	 6.426 
 405.475 	 6.426 
 405.660 	 6.426 
 405.850 	 6.426 
 406.040 	 6.426 
 406.225 	 6.422 
 406.415 	 6.417 
 406.600 	 6.420 
 406.790 	 6.424 
 406.980 	 6.426 
 407.165 	 6.419 
 407.355 	 6.416 
 407.540 	 6.416 
 407.730 	 6.420 
 407.920 	 6.417 
 408.105 	 6.420 
 408.295 	 6.421 
 408.480 	 6.421 
 408.670 	 6.417 
 408.860 	 6.416 
 409.045 	 6.413 
 409.235 	 6.411 
 409.420 	 6.411 
 409.610 	 6.411 
 409.800 	 6.408 
 409.985 	 6.413 
 410.175 	 6.413 
 410.360 	 6.418 
 410.550 	 6.415 
 410.740 	 6.411 
 410.925 	 6.411 
 411.115 	 6.411 
 411.300 	 6.411 
 411.490 	 6.411 
 411.680 	 6.411 
 411.865 	 6.411 
 412.055 	 6.408 
 412.240 	 6.406 
 412.430 	 6.406 
 412.620 	 6.406 
 412.805 	 6.403 
 412.995 	 6.401 
 413.180 	 6.401 
 413.370 	 6.401 
 413.560 	 6.401 
 413.745 	 6.398 
 413.935 	 6.396 
 414.120 	 6.396 
 414.310 	 6.393 
 414.500 	 6.395 
 414.685 	 6.396 
 414.875 	 6.396 
 415.060 	 6.396 
 415.250 	 6.393 
 415.440 	 6.389 
 415.625 	 6.387 
 415.815 	 6.387 
 416.000 	 6.387 
 416.190 	 6.384 
 416.380 	 6.382 
 416.565 	 6.382 
 416.755 	 6.382 
 416.940 	 6.382 
 417.130 	 6.379 
 417.320 	 6.377 
 417.505 	 6.377 
 417.695 	 6.374 
 417.880 	 6.376 
 418.070 	 6.373 
 418.260 	 6.372 
 418.445 	 6.380 
 418.635 	 6.378 
 418.820 	 6.377 
 419.010 	 6.374 
 419.200 	 6.372 
 419.385 	 6.372 
 419.575 	 6.372 
 419.760 	 6.372 
 419.950 	 6.372 
 420.140 	 6.372 
 420.325 	 6.372 
 420.515 	 6.372 
 420.700 	 6.376 
 420.890 	 6.373 
 421.080 	 6.368 
 421.265 	 6.367 
 421.455 	 6.363 
 421.640 	 6.362 
 421.830 	 6.362 
 422.020 	 6.362 
 422.205 	 6.362 
 422.395 	 6.362 
 422.580 	 6.367 
 422.770 	 6.363 
 422.960 	 6.358 
 423.145 	 6.357 
 423.335 	 6.357 
 423.520 	 6.357 
 423.710 	 6.357 
 423.900 	 6.354 
 424.085 	 6.348 
 424.275 	 6.348 
 424.460 	 6.343 
 424.650 	 6.343 
 424.840 	 6.335 
 425.025 	 6.337 
 425.215 	 6.338 
 425.400 	 6.342 
 425.590 	 6.343 
 425.780 	 6.343 
 425.965 	 6.343 
 426.155 	 6.343 
 426.340 	 6.346 
 426.530 	 6.348 
 426.720 	 6.344 
 426.905 	 6.343 
 427.095 	 6.343 
 427.280 	 6.343 
 427.470 	 6.339 
 427.660 	 6.338 
 427.845 	 6.334 
 428.035 	 6.336 
 428.220 	 6.334 
 428.410 	 6.333 
 428.600 	 6.340 
 428.785 	 6.339 
 428.975 	 6.335 
 429.160 	 6.336 
 429.350 	 6.338 
 429.540 	 6.338 
 429.725 	 6.338 
 429.915 	 6.334 
 430.100 	 6.333 
 430.290 	 6.333 
 430.480 	 6.338 
 430.665 	 6.334 
 430.855 	 6.333 
 431.040 	 6.329 
 431.230 	 6.328 
 431.420 	 6.328 
 431.605 	 6.324 
 431.795 	 6.326 
 431.980 	 6.325 
 432.170 	 6.330 
 432.360 	 6.327 
 432.545 	 6.327 
 432.735 	 6.331 
 432.920 	 6.326 
 433.110 	 6.323 
 433.300 	 6.327 
 433.485 	 6.325 
 433.675 	 6.321 
 433.860 	 6.318 
 434.050 	 6.318 
 434.240 	 6.318 
 434.425 	 6.318 
 434.615 	 6.315 
