x Distance [mm]	Height [cm]
 47.900 	 6.602 
 48.085 	 6.602 
 48.275 	 6.607 
 48.460 	 6.611 
 48.650 	 6.609 
 48.840 	 6.616 
 49.025 	 6.615 
 49.215 	 6.611 
 49.400 	 6.616 
 49.590 	 6.631 
 49.780 	 6.627 
 49.965 	 6.632 
 50.155 	 6.636 
 50.340 	 6.641 
 50.530 	 6.641 
 50.720 	 6.641 
 50.905 	 6.644 
 51.095 	 6.642 
 51.280 	 6.646 
 51.470 	 6.650 
 51.660 	 6.650 
 51.845 	 6.651 
 52.035 	 6.655 
 52.220 	 6.655 
 52.410 	 6.656 
 52.600 	 6.662 
 52.785 	 6.666 
 52.975 	 6.670 
 53.160 	 6.665 
 53.350 	 6.665 
 53.540 	 6.666 
 53.725 	 6.669 
 53.915 	 6.666 
 54.100 	 6.670 
 54.290 	 6.670 
 54.480 	 6.671 
 54.665 	 6.676 
 54.855 	 6.678 
 55.040 	 6.678 
 55.230 	 6.685 
 55.420 	 6.685 
 55.605 	 6.685 
 55.795 	 6.685 
 55.980 	 6.689 
 56.170 	 6.689 
 56.360 	 6.691 
 56.545 	 6.701 
 56.735 	 6.701 
 56.920 	 6.695 
 57.110 	 6.701 
 57.300 	 6.703 
 57.485 	 6.699 
 57.675 	 6.701 
 57.860 	 6.703 
 58.050 	 6.700 
 58.240 	 6.706 
 58.425 	 6.710 
 58.615 	 6.714 
 58.800 	 6.717 
 58.990 	 6.714 
 59.180 	 6.714 
 59.365 	 6.714 
 59.555 	 6.714 
 59.740 	 6.714 
 59.930 	 6.720 
 60.120 	 6.722 
 60.305 	 6.720 
 60.495 	 6.724 
 60.680 	 6.725 
 60.870 	 6.727 
 61.060 	 6.725 
 61.245 	 6.730 
 61.435 	 6.733 
 61.620 	 6.733 
 61.810 	 6.733 
 62.000 	 6.733 
 62.185 	 6.733 
 62.375 	 6.735 
 62.560 	 6.738 
 62.750 	 6.738 
 62.940 	 6.740 
 63.125 	 6.742 
 63.315 	 6.738 
 63.500 	 6.743 
 63.690 	 6.752 
 63.880 	 6.748 
 64.065 	 6.747 
 64.255 	 6.743 
 64.440 	 6.745 
 64.630 	 6.748 
 64.820 	 6.748 
 65.005 	 6.748 
 65.195 	 6.750 
 65.380 	 6.752 
 65.570 	 6.748 
 65.760 	 6.749 
 65.945 	 6.752 
 66.135 	 6.750 
 66.320 	 6.753 
 66.510 	 6.754 
 66.700 	 6.756 
 66.885 	 6.753 
 67.075 	 6.754 
 67.260 	 6.756 
 67.450 	 6.753 
 67.640 	 6.753 
 67.825 	 6.753 
 68.015 	 6.751 
 68.200 	 6.750 
 68.390 	 6.756 
 68.580 	 6.753 
 68.765 	 6.754 
 68.955 	 6.758 
 69.140 	 6.755 
 69.330 	 6.749 
 69.520 	 6.753 
 69.705 	 6.753 
 69.895 	 6.753 
 70.080 	 6.753 
 70.270 	 6.753 
 70.460 	 6.754 
 70.645 	 6.755 
 70.835 	 6.753 
 71.020 	 6.753 
 71.210 	 6.751 
 71.400 	 6.751 
 71.585 	 6.755 
 71.775 	 6.758 
 71.960 	 6.758 
 72.150 	 6.753 
 72.340 	 6.752 
 72.525 	 6.758 
 72.715 	 6.758 
 72.900 	 6.758 
 73.090 	 6.756 
 73.280 	 6.753 
 73.465 	 6.756 
 73.655 	 6.758 
 73.840 	 6.760 
 74.030 	 6.761 
 74.220 	 6.753 
 74.405 	 6.748 
 74.595 	 6.748 
 74.780 	 6.748 
 74.970 	 6.748 
 75.160 	 6.748 
 75.345 	 6.749 
 75.535 	 6.751 
 75.720 	 6.750 
 75.910 	 6.752 
 76.100 	 6.748 
 76.285 	 6.748 
 76.475 	 6.750 
 76.660 	 6.753 
 76.850 	 6.753 
 77.040 	 6.753 
 77.225 	 6.753 
 77.415 	 6.750 
 77.600 	 6.747 
 77.790 	 6.751 
 77.980 	 6.750 
 78.165 	 6.753 
 78.355 	 6.750 
 78.540 	 6.746 
 78.730 	 6.750 
 78.920 	 6.745 
 79.105 	 6.748 
 79.295 	 6.748 
 79.480 	 6.748 
 79.670 	 6.748 
 79.860 	 6.748 
 80.045 	 6.749 
 80.235 	 6.753 
 80.420 	 6.751 
 80.610 	 6.748 
 80.800 	 6.746 
 80.985 	 6.745 
 81.175 	 6.748 
 81.360 	 6.749 
 81.550 	 6.752 
 81.740 	 6.749 
 81.925 	 6.751 
 82.115 	 6.748 
 82.300 	 6.747 
 82.490 	 6.744 
 82.680 	 6.745 
 82.865 	 6.739 
 83.055 	 6.743 
 83.240 	 6.744 
 83.430 	 6.747 
 83.620 	 6.743 
 83.805 	 6.743 
 83.995 	 6.742 
 84.180 	 6.740 
 84.370 	 6.743 
 84.560 	 6.745 
 84.745 	 6.746 
 84.935 	 6.742 
 85.120 	 6.740 
 85.310 	 6.742 
 85.500 	 6.738 
 85.685 	 6.738 
 85.875 	 6.738 
 86.060 	 6.737 
 86.250 	 6.733 
 86.440 	 6.733 
 86.625 	 6.735 
 86.815 	 6.738 
 87.000 	 6.738 
 87.190 	 6.738 
 87.380 	 6.738 
 87.565 	 6.738 
 87.755 	 6.738 
 87.940 	 6.740 
 88.130 	 6.742 
 88.320 	 6.738 
 88.505 	 6.738 
 88.695 	 6.738 
 88.880 	 6.736 
 89.070 	 6.730 
 89.260 	 6.733 
 89.445 	 6.733 
 89.635 	 6.733 
 89.820 	 6.733 
 90.010 	 6.735 
 90.200 	 6.737 
 90.385 	 6.731 
 90.575 	 6.729 
 90.760 	 6.729 
 90.950 	 6.726 
 91.140 	 6.724 
 91.325 	 6.724 
 91.515 	 6.726 
 91.700 	 6.726 
 91.890 	 6.724 
 92.080 	 6.724 
 92.265 	 6.722 
 92.455 	 6.717 
